cluster number,used,target word,20 related words,rest of words,num words
140,1,shape,bottom square flat circle angle narrow grid dimension curve radius imaginary triangle pyramid flatter shaped inclined cube cone quadrant vertical,irregular sphere squared rotate spiral rounded circular horizontal alignment flatten slant diameter centered hourglass overlapping inclination longitude symmetry inverted circumference integral width align curved symmetrical focal overlap spacing diagonal oblique sundial rectangular alternating tangent sloping intersect concentric contour obtuse parabolic angled curvature elliptical triangular rectangle tapered centering hypotenuse concave congruent crisscross indentation spherical conical diagonally oblong declination geometrically hexagonal pyramidal tapering isometric protractor semicircle sloped spherically trapezoid bisect centerline circumscribed equilateral midpoint parallelogram polygonal ridged straightedge vertex arc bevel convex corrugation diametric ellipse extrude hemispherical heptagon hexagon hyperbola inset parabola pentagonal polygon quadrangular quadrilateral reticulate semicircular spheroid trapezoidal ,118
2,0,sir,said sir born bell rob former ward butler gamble pointed graves peck rebound gurney retiring mortuary coy hickey huff spokesman ,rouse lackey christen bode substitution whittle ogle bower shuck lamented falconer bate spokeswoman philander redden baker bannister barker baron beau bob booker boon browning butch candlewick cardinal carol carver chuck crouch curt dean deforest drake drew duke dyer earl fisher fleck flint frank freeman fuller garner gill goring griffin heather houseman jack jay jimmy john josh lacy lance leach lynch mark martin mason maxim mead mike miller nick noel norm packer pat peter pierce plowman porter proctor randy ray reed robin schilling shearer smith squire stark sue tanner timothy tom turner victor wade walker weaver wheeler whitehead wilder withers woodman ,120
60,1,burn,fire gas smoke energy burning burned cigarette smoking fuel electric electricity explode lit burnt flame lighter stove gasoline spark torch ,flare ignition bulb furnace heating flaming smoker radiant blaze fiery lantern blazing burner incense charcoal bonfire tracer petrol extinguisher firewood brimstone kerosene campfire combustion monoxide smog soot firecracker ignite blowtorch extinguish douse scorched flammable hearth extinguished kindling propane radiate tailpipe scorch overheated ablaze alight indirect misfire emit soldering kiln combustible dissipated overheat unleaded aflame incandescent flaring propellant searing butane inflammable emanate mesquite unquenchable ember smokestack wattage combust pyromaniac incandescence coital vaporizer igniter octane radon smokeless flashbulb tinder torchbearer unlit afterburner firebox halogen ash flammability geothermic hearthstone heatless hydroelectricity inextinguishable krypton lightbulb nonrenewable smolder sparkplug sulphurous unvented unventilated wick wildfire ,119
16,1,solution,way best easy perfect possible quick choice fair simple wherever decent attractive reasonable solution stable useful neat practical effective alternative ,fairly convenient accurate legitimate ideal sensible sophisticated elegant civilized reliable classy consistent respectable sane acceptable precise efficient suitable realistic orderly discreet swift tidy meaningful relatively appealing predictable satisfactory adequate satisfying productive viable lasting reasonably minimal stylish straightforward speedy desirable enjoyable painless foolproof dependable agreeable pleasing tasteful prosperous accessible presentable versatile doable inexpensive affordable inconspicuous manageable feasible uncomplicated conducive tolerable expedient effortless advantageous streamlined adaptable economical unobtrusive workable aboveboard livable passable defensible eminently inoffensive maneuverable serviceable amenable cohesive expeditious seemly bombproof undemanding nontoxic tolerably uncluttered commonsense effectual liveable repeatable achievable homogenous questionably smashingly acceptably defendable irreproachably old_age passably practicable thermodynamically unproblematic untidiness ,121
22,1,big,some many small plenty lots bigger huge large filled dozen wide smaller enormous massive tremendous addition included vast variety handful ,overwhelming selection considerable chunk combined occasional gigantic scattered extensive numerous substantial await masses countless accommodate array ample immense staggering colossal slew zillion untold veritable assorted abundance bottomless overflowing varied bountiful diverse lavish assortment galore humongous smorgasbord meager sized roomful abundant multitude leeway myriad heaps sizable boatload busload gaggle ranging plethora abound brimming congregate gargantuan menagerie awash sizeable boundless cornucopia inordinate plentiful smallish disproportionate influx minuscule sundry scant miniscule inexhaustible innumerable copious marauding walloping disparate hodgepodge overabundance assemblage basketful mishmash bagful conglomeration abounding bucketful bowlful gadgetry outsized plateful shipload bounteous cartload disproportion disproportional inconsiderable innumerous measureless numberless numerable obtainable overabundant superabundance superabundant unsorted ,122
70,1,hair,long tail beard straighten haircut wig comb mustache moustache curl pluck clipped poof whiskers shag ragged hairdo plucked toupee hairline ,pubic clipping combing goatee shaping tangle perm ponytail bleached ratty unruly hairstyle feathered mane balding scruffy wavy droopy wag bushy stubby tinsel wigged untidy wisp hairpiece thinning unsightly frizzy stubble wiry flattop forked shorn whisker baldness hairnet nape scruff unkempt scrunch sparse spiky feathery pageboy disheveled earwax miniaturization barrette scraggly drooping sealskin unshaven grizzled sooty wispy cowlick furrowed sideburn straggling uncombed snarly straggly untangled fishtail forelock hatless manes snaky stubbly swishy tuft unfashionably voluminous afro alarmclock blondness bristled bristly curliness curly damply dreadlock elfish eyepatch federalize flyaway hairdressing hairiness longish luxuriantly pompadour prickle ringlet shaggy stumpy twiggy undercoat unmanageably unreel untrimmed windblown ,122
94,0,give,dear welcome lucky giving attention honor given appreciate proud pardon beg apologize deserve bless invite pleased received grateful prize receive,hug reward generous apology award medal kindly worthy compliment deserved sympathy fortunate courtesy gratitude gesture salute honorable gracious congratulate acknowledge obliged thankful sponsor greet tribute appreciation gladly dearly sincerely recognition donate nod goody donation welcoming dedicate parting oblige encouragement applaud respectfully accomplishment humbly commend benefactor honorary heartfelt graciously giver recipient bestow deserving generously unconditional commendation appreciative heartily groveling adoring admittance reciprocate alumnus warmly praising acknowledgement unconditionally lifesaving disservice gratefully profusely fawning magnanimous posthumous endow posthumously comeuppance undeserving unselfishly memorialize undeserved laud selflessly congratulatory grudging merited reciprocation worshipful honoree imploring unreservedly accolade congratulation congratulations cordially effusively hospitably kudos praise thank thanks unmerited webby ,122
151,1,investigation,charge guilty criminal stealing commit conduct abuse fraud scandal violation suspicion theft breach conviction harassment felony offence stalking treason reckless ,corruption alleged burglary cruelty arson accusation manslaughter pornography extortion indictment unauthorized perjury larceny mischief forgery adultery negligence neglect vandalism shoplifting blasphemy intentional misdemeanor trespass laundering bribery disorderly aggravated insubordination slander condone libel wrongful obscenity intoxicated negligent embezzlement retaliation fornication punishable misconduct disobedience unlawful desertion racketeering drunkenness sacrilege willful infraction endangerment defamation flagrant misuse allegation bigamy wrongdoing impropriety transgression delinquency immorality complicity irregularity omission intoxication sodomy molestation plagiarism accuser mistreatment felonious infliction thievery indecency allege noncompliance culpable lewdness infringement forcible unpardonable excusable indecently criminality trespasser misbehavior pedophilia enticement illegality maltreatment misrepresentation falsification misappropriation adulteration harasser hooliganism misapplication misdeed misstatement monopolization nonconformity perpetration uncharged ,122
198,1,tried,then once later soon leaving taken finally turned broke quit decided completely instead stopped stuck quickly suddenly closed immediately apart,somehow sooner ordered forgotten headed recently eventually disappear entirely settled accepted officially removed afterwards confirmed abandoned shortly accidentally rolled abandon blocked altogether ultimately rushed interrupted supposedly permanently sadly instantly temporarily shutting disappearing settling rapidly stripped partly resolved essentially briefly newly reversed corrected undone quits whim withdrawn afterward partially formally initially promptly gradually parted hesitation unexpectedly mysteriously ironically magically swiftly momentarily rejoin sacked thereafter subsequently kaput abruptly miraculously booted spontaneously hastily prematurely forcibly suppressed thankfully discontinue reluctantly reportedly regretfully reappear mercifully hurriedly decisively unceremoniously unhurt unaccountably uneventfully alas apparently belatedly fortunately grudgingly insensibly luckily meanwhile previously regrettably shut unbeknown unbeknownst unbolted unfortunately unluckily ,122
182,1,dig,mine rock deep buried discovered ancient sand mud cave digging underground beneath discovery dug ditch coal dam lava volcano mining,digs crater mineral burying drilling uranium blasting exploration rubble prehistoric ore fossil quarry mound miner gravel volcanic cavern bog archaeological submerged geological landslide workings meteorite mammoth undersea cinder subterranean excavation scour seismic erosion limestone pothole dredge plume riverbed dike sediment eruption reclamation magma scoured unearth silt bedrock sinkhole diggings primeval eroded serpentine fossilized geyser excavate tectonic topsoil shale geologically geothermal pumice glacial holey cobble groundwater icecap mudslide seabed sedimentary subsurface earthen geologic metamorphic subsoil aquifer prehistorical sedimentation clay cretaceous drillhole earthwork extrusive faulting fragmental glacially gravelly impoundment liquefiable metamorphism neolithic nonmetal outcrop overburden paleontological permafrost quarrying quartzite sandstone seafloor sequestration stalagmite unconsolidated yellowcake ,123
99,1,gun,gun shoot attack fired shooting bomb weapon strike bullet target nuclear firing assault blast rifle missile barrel dynamite pistol shotgun,deadly shooter cannon ammunition lethal tactical ambush ammo explosive gunfire slug bunker grenade sniper exploded warhead revolver caliber detonator nuke ballistics semi mortar shrapnel disarm detonate firepower stun armory detonation gunpowder muzzle bayonet firearm fireball marksman shelling homing pellet handgun ballistic crossbow weaponry buckshot musket silencer bazooka offhand stinger turret harpoon projectile silenced launcher varmint hellfire paintball incendiary flamethrower sharpshooter disarming skeet marksmanship sidearm recoil nightstick semiautomatic stockpile rifling pyrotechnics thermonuclear pounder chaff unexploded indiscriminate landmine longbow nonlethal birdshot megaton riffle antipersonnel warplane blowpipe counterstrike penetrator subsonic barreled blowgun chambered lethality quarterstaff unguided baton blaster familiarization headshot mace machinegun magnum minuteman muzzleloader pilotless teargas tomahawk ,125
177,1,argument,true truth answer fact evidence prove witness opinion proof statement explanation testimony confirm existence proved conclusion contrary alibi hunch objective,convincing proven sufficient probable certainty conclude persuasive definitive plainly circumstantial credible suffice doubtful plausible hearsay contradiction contradict doubting incriminating conclusive concur corroborate undeniable justification hypothesis assert conjecture rebuttal presumption admissible refute infallible unconfirmed disprove validity deduce infer factual recant debatable empirical attest foregone veracity categorically substantiate anecdotal conclusively rationale extrapolate surmise caveat corroboration outset supposition unequivocally assertion irrefutable falsify indisputable causation unequivocal disbelieve empirically equivocal rebut uncontroversial restate unimpeachable coconspirator debunk nonexistence pronouncement unvarnished verifiable demonstrable substantiation unanswerable plausibility sufficiency unassailable provable unambiguous corroborative supportable unquestionable arguable contestable counterargument disproof disputable evidential falsifiable inarguable incontestable incontrovertibly indubitable insurability notability plausibly recantation refutation unarguable undisputable unsworn ,125
19,1,business,real trust company bank share firm property fortune stock penny foreign estate exchange loan stake net financial debt capital bid ,profit corporate investment corporation wealth lease trading mortgage finance assets banker marketing invest venture bidding accounting acquired merger royalty asset currency broker commerce collateral banking transaction bankrupt leverage domain profitable revenue bankruptcy franchise ownership portfolio billionaire realtor commodity takeover trader escrow hedge shilling acquisition equity lucrative investor ledger stockbroker earnings barter appraisal conglomerate derivative liquidate bookkeeping multinational brokerage shareholder foreclosure auctioneer bookmaker subsidiary hedging affiliate taxation quicken abacus appraiser buyout consolidation bankable lender receivable resell diversification liquidation profitably speculator moneymaking origination valuation accountancy diversified insolvent receivables spendthrift insolvency midstream monetize acquirer bonanza businesspeople consolidated countrywide intermediation mercantile nonfinancial prudential realty refinance repossession repurchase riskless telecom treasury,126
110,1,fish,catch sea swim ocean fishing shark dive catching whale bait floating tide surf pond underwater diving shallow fisherman lure trout ,reef swimmer gator fin chum goldfish herring fishy aquarium dolphin diver octopus fluke leech seaweed divers lagoon tailing scuba jellyfish piranha smelt gulp perch blubber cutthroat carp nymph shiner barracuda freshwater wading predatory saltwater snorkel mullet trolling aquatic beluga bullfrog hammerhead algae angling urchin humpback angler sturgeon croaker brine puffer minnow crustacean fishery thresher cuttlefish manatee striper bluefish mollusk wiggler hatchery riptide skimmer lionfish angelfish bluefin eyeless largemouth sandbar bottlenose crayfish frogfish sailfish streamer aquaculture atlantic barnacle bioluminescent blackfish bloodworm bonefish fishtank invertebrate jawless kelp kingfish lipless marine marlin paddlefish panfish parrotfish pelican phytoplankton pike plankton redfish ribbonfish rockfish scaleless shore snakehead stingray sunfish undersize wader ,126
199,1,wash,clean dry shower bath toilet cleaning laundry sink wipe soap tap towel washed tub sweep washing bathing household cleaner sponge,bathtub toothbrush dryer mop conditioning soak housekeeping pronto refill soaking taps bathe loo rinse bleach brushing sterile hygiene washer dishwasher disposable bathrobe tumble scrubbed ironing faucet wring dab mixer steamer detergent dispenser minibar pail disinfectant urinal hairbrush shoeshine sweeper whirlpool gargle lather hygienic foaming soapy lukewarm suds scouring softener crevice disinfect freshener coffeemaker washcloth incontinent sunbeam dishwashing housecleaning backwash squeegee bathmat dustpan frothing scrubber scummy tepid dishwater drench hairdryer fingertip froth bathwater showerhead dishpan hydrotherapy eyewash sanitize capful disinfection footbath moisten submersion germy rinsing sudsy unclog cheesecloth deodorize dishtowel sterilizer toweling cleanable cyclonic degrease facecloth germicide handwash hoover kleenex soaker teabag unclogged washbasin washbowl washrag waterless ,126
33,1,science,lab research society scientific studied lecture physics journal chemistry engineering laboratory applied biological psychology biology forensic forensics thesis institute anatomy ,mathematics molecular economics mechanics geography textbook theoretical genetics anthropology astronomy dissertation aerospace toxicology magnetism physiology geology doctorate comparative lecturer archaeology symposium biochemistry robotics anthropological linguistics sociology paleontology botany astrophysics zoology criminology ecology physic thermodynamics academia aeronautical entomology cartography cryogenics microbiology biotechnology neurophysiology zoological adjunct epidemiology nanotechnology oceanography cosmology humanities meteorology professorship microeconomic ornithology criminological electromagnetism postdoctoral biophysics cryptology microeconomics neuroscience seismology superconductivity aeronautics astrobiology astronautics bacteriology biomedical biostatistics catalysis climatology computational demography dietetics econometrics electrochemistry electrostatics embryology ethnology geochemistry geophysics immunology instructorship integrative interdisciplinary microelectronics mineralogy musicological musicology neurobiology neuropsychology oxford parapsychology pharmaceutics pharmacology photochemistry polytechnic pragmatics prehistory professor psychophysiology radiobiology radiochemistry seismological statics studentship translational university,127
104,1,body,look man woman looking figure handsome tall bust skinny muscle appearance lean bare weigh skeleton manly aging trunks masculine graceful,torso overweight stature scrawny muscular puny grownup skinned headless bearded mannequin bulge sleek humanoid limber flabby slender physique virile pudgy supple anorexic shrunken silhouette forties flaccid lanky disembodied diminutive chiseled midsection sculpt shapely toned bronzed burly beefy bodybuilding spindly bodybuilder dumpy effigy gangly gawky exoskeleton bowlegged lumbering heavyset pubescent boxy brawny flab frumpy statuesque stocky beardless gaunt hulking portly womanly womanish curvaceous fatness freckled hunchbacked manlike rotund suntanned babyish jawed leaner shapeless shouldered scantily ruggedly slovenly ungainly unwrinkled willowy apelike careworn dwarfish endoskeleton squatty tallish bareheaded bespectacled cadaverous caucasian ghostlike helmeted humanlike limbless matronly muscularity mustached oldish slim snakelike tallness unclad unclothed undraped unimposing unshapely unsmiling voluptuously ,127
156,1,bear,wild chase hunt duck hunting wolf goose spotted bald deer pigeon owl dove moose prey squirrel lone crow rooster coyote ,decoy reindeer hen prairie boar possum wildlife grizzly buzzard vulture badger rattlesnake lark stag sighting rut raccoon elusive loon wildcat tailed quail chaser prowl nocturnal gull antelope woodpecker humbug roost chipmunk pheasant coot trapping fowl jackrabbit porcupine muskrat bobcat snipe antler caribou heron migratory chickadee cottontail whisperer puffin ringed sandpiper taxidermy copperhead bleat saddleback warbler reintroduction ringtail falconry flycatcher outfitter antlered attractor babbler beaver buck condor cougar crested cub doe eagle earthborn elk falcon flathead flyway fox gobbler grunter hare harlequin hawk hunter jackal kingfisher lynx mallard mantled marsh meadowlark otter partridge pondweed racoon redbird shorebird silvertip sparrow spectacled swan trapper tricolor waterbird waterfowl weathervane whitetail wildfowl ,127
13,1,ball,off hit shot throw pass stick kick grab knock punch bat thrown struck kicking squeeze knocking shove landed slap toss ,bounce smack upside handed whack stab smash arrow fist pinch poke slam tipped spear blasted striking bouncing thrust jab smashing puck dunk zap snot dart snag backside swipe swoop ducking slingshot snowball putter hurl dribble crowbar whacking slammer penetrating putt nudge proverbial floater boomerang taker sledgehammer smacking splat wallop slinging gavel backhand mallet midair squarely swerve catapult uppercut battering smithereens deflect hurling errant backboard javelin volley clothesline headlock snub knockdown curveball impale savagely headfirst cartwheel lob goalpost narrowly overhand pincer spitball takedown bludgeon thumbtack lowball backhanded barehanded potshot toehold impalement backspin crossbar forehand harmlessly springboard handhold haymaker dribbler knuckleball pronged backbreaker beachball dropkick highflying linesman longwise skittle swish ,128
170,1,economy,strong dollar rise negative spending steady boom demand current crisis fed despite rising continued sector growth global yen economic stocks ,predict sentiment unemployment decline plunge trend outlook forecast surge momentum shrinking optimism soar spiked uncertainty downside jitters poised turmoil peaked persist slump lull gloom contraction deficit inflation soaring instability monetary trillion fiscal weakening barometer escalate easing sharply stimulus recession waning plummet worsen eroding implode jobless skyrocket surging dampen fluctuating slowdown stagnant dwindling lagging peso wane aftershock deepening tailspin faltering fizzle buoyant forecasting worsening cyclical nosedive headwind austerity downgrade dwindle stagnation subsiding compounding downturn inflow resurgence shortfall solvency stagnate volatility deflation divergence liquidity outperform spillover bearish devaluation inflationary rupee seasonally souring upsurge accommodative birthrate bullish euro forecaster greenback homebuilder macroeconomic outpace oversupply overvaluation persisting pullback recessionary resurgent underperform upturn ,128
173,1,invention,end means side opening base member plate surface opposite inner outer element extend slot formed parallel portion recess cavity opposing ,mounted communicating guiding segment engaging disposed thereby outward adjacent projecting passageway upstanding thereof peripheral correspond therein exemplary positioning spaced respective inward innermost substantially corresponding embodiment coupling radial horizontally vertically electrically proximal receptacle rotated predetermined elongated grating periphery electrode movable respectively transverse wafer tubular conductive capillary outwardly underside laterally perpendicular comprise cylindrical inwardly rigidly peripherally selectively upwardly alternatively proximate uppermost alternately longitudinal magnetically outermost circumferential downwardly protrude protrusion sidewall thereabout eccentrically microelectronic obliquely overlying photosensitive therewith advantageously axially axis circularly concavely conically crosspiece diametrically elongate fixedly hollow integrally longitudinally lowermost nonparallel nonvolatile operatively oppositely overlie perpendicularly plurality preferably rearmost rotatable schematically segmented semiconductor spirally symmetrically tangentially telescopically transversally undersurface,128
10,1,dessert,ice cream cake candy chocolate pie chip cookie chips frozen jam whip peanut pumpkin banana filling popcorn jelly cereal pudding ,muffin cracker crackers delight strawberry mint doughnut vanilla fudge crunch oatmeal cupcake cinnamon cappuccino blueberry icebox latte decaf tart cobbler cheesecake yogurt waffle trifle espresso fruitcake pretzel cranberry raspberry dipped crumb raisin sundae eggnog marshmallow donut frosting crumble icing peppermint mocha custard caramel creamy decadent mousse almond pecan strudel croissant glaze topping milkshake porridge frosted smoothie creamer chewy gingerbread macadamia applesauce granola decadence sherbet slush thumbprint shortcake bonbon butterscotch scone bittersweet teatime truffle amaretto mincemeat toffee baklava sorbet flapjack parfait nougat eclair shortbread confection hazelnut sugared sugarless frappe paintbox tollhouse biscuit brownie butterfingers clementine coffeecake cornflake flan gingersnap icecream macaroon nestle piecrust pistachio popsicle streusel taffy teacake tiramisu unfrosted ,129
21,1,weather,cool cold summer wind warm rain snow storm winter swell blowing chill temperature freezing sunshine fog breeze sunny harsh cooler ,chilly warming rainy autumn warmer climate tropical damp icy windy gloomy cloudy dew prevail weatherman blizzard misty hemisphere stormy frigid drought humidity foggy summertime favorable snowy brisk nippy humid snowstorm rainstorm breezy monsoon tropics bitterly sleet thunderstorm balmy prevailing unforgiving landfall blistering gust overcast wetter drier wintertime scorching snowfall squall coldness rainfall precipitation meteorological unfavorable changeable barometric temperate blustery centigrade wintry spoilsport sweltering patchy pelting cloudless inclement whiteout blanketed climatic dampness pitiless torrential wetness drizzly gusty muggy unseasonably blustering cloudiness unseasonable downpour northerly slushy drenching seasonable swelter tradecraft aridity contentedness dreariness frost frosty gale gloominess heatwave icepack iciness incomputable northeaster rainless seasonably seasonal showery storminess subtropics tropic windless wintery ,129
114,1,king,royal prime kingdom noble crown emperor empire privilege throne exclusive wealthy heir establishment consul inherit privileged sultan ruler allegiance reign ,elite sovereign imperial rightful dictator tyrant assassinate crowned ancestor successor territorial nobility privy prestige aristocrat meddling overthrow illegitimate prerogative superiority confer hereditary conqueror descendant tycoon emissary succession birthright relinquish lineage monarch clique dominance aristocratic nobleman commoner czar monarchy aristocracy hierarchy superpower ancestral sovereignty supremacy knighthood legitimacy motherland subservient befitting depose patronage patriarch tyrannical figurehead patriarchal despot personage feudal abdicate serf usurp parentage presumptive dictatorial lordly usurper descendent princely autocratic kingly ambassadorship coinage kingship overreach preeminence ambassadorial blueblood custodianship inheritor monarchical propertied unalienable ambassador archduke ascendency chancellery chieftainship confederation dynasty editorship eminence excellency highness incumbency landholding majesty matriarchal monopoly napoleon patrimonial prince principality quintuplet republic trump trusteeship tsar unitary viceroy ,129
144,1,spoke,stated truthfully verbally metaphorically fondly indistinctly famously affectionately succinctly candidly vividly bluntly eloquently aptly symbolically copiously crudely incoherently cussed jokingly ,powerfully thusly meaningfully rhetorically scathingly coherently graphically shrewdly charitably poetically unkindly amusingly credibly humorously provocatively straightforwardly tactfully concisely fittingly forthrightly lamely quaintly touchingly unintelligibly usefully variously abstractly disparagingly feelingly generically grandly haltingly movingly parenthetically soulfully according allegorically ambiguously animatedly articulately assertively astutely authoritatively baldly blasphemously boastfully caustically concretely conversationally cryptically cutely derisively descriptively engagingly enigmatically entertainingly equivocally expansively expressively facetiously familiarly flippantly glowingly grandiosely helpfully hyperbolically impersonally imprecisely inaccurately inarticulately inelegantly informatively intelligibly interrogatively inventively irreverently jestingly loftily lucidly melodramatically memorably nostalgically obscurely optimistically perceptively persuasively pertinently pessimistically pithily poignantly pompously pretentiously profanely prophetically relevantly sardonically satirically slanderously sneeringly tactlessly tartly tellingly unambiguously unconventionally unconvincingly unimaginatively vulgarly whimsically wittily,129
34,1,sugar,whole honey cup milk oil pure plain mixed butter soda salt powder concentrate corn raw cane peanuts medium tobacco straw ,wheat syrup dried cocoa grain substitute coconut organic blend canned rye ounce flour soaked crude extract kosher mixture soy powdered refined concentrated pulp flake lard coarse starch bran germ buttermilk molasses turpentine barley yeast skim sweeten shelled blended sift sunflower margarine lye tapioca lactose spoonful oat sieve gelatin nonfat soybean teaspoon beeswax diluted husk yolk skimmed sprinkling substituting hemp shortening malted sweetener refining cornmeal talc unrefined linseed saltine cornstarch sweetening undiluted bouillon glycerin teaspoonful borax flaxseed sifter whey catsup flavoring saccharin sachet unsalted butterfat citric confectioner glycerine granulated safflower thickener unbleached buckwheat canola cottonseed cupful dessertspoon emulsifier leavening milled millet pectin semisweet soymilk tablespoonful unfermented unflavored unpasteurized unprocessed unsweetened untoasted ,130
91,1,jungle,monkey giant snake creature tiger lion species zoo frog elephant ape exotic toad gorilla leopard weasel lizard dinosaur alligator dwarf ,chimp penguin predator extinct zebra kangaroo crocodile habitat panda rhino safari snail baboon ferocious extinction giraffe hippo hyena reptile boa chimpanzee gazelle mammal hermit albino tortoise walrus tarantula snout shrew iguana rhinoceros chameleon primate primates pygmy koala tadpole orangutan domesticated hippopotamus fauna horned venomous carnivorous woolly blooded mantis aardvark amphibian pterodactyl carnivore gecko slowpoke subspecies lioness reptilian warthog wombat tigress tusk constrictor anteater brontosaurus meerkat silverback bipedal cockatoo nonhuman salamander flightless seahorse vertebrate herbivore legless hoofed stegosaurus mimicry opossum toucan platypus marsupial ocelot pouched tusked anaconda armadillo cheetah creeper dingo doglike domestication flamingo hatchling herbivorous hornbill howler millipede morph panther raptor sasquatch sloth sphinx spiny triceratops turtle tyrannosaurus unisexual yeti,130
139,1,noise,hear crying loud screaming silence yelling ringing shout whistle shouting thunder whispering whisper beep pounding whistling noisy humming hum chatter,growling ticking buzzing chanting roar howling rattle muffled roaring rattling creaking rumble squeal loudly screeching rumbling squealing squeak mumbling scraping howl clapping rustling thud thump aloud squeaking murmuring muttering squawk hissing thumping crackling rung clink whoosh rattled rustle splashing clanking booming growl murmur hiss snorting thundering tinkle babble clinking wail clang insistent shattering tinkling jingling audible clatter patter thrashing clunk shriek thudding chirp inaudible thunderclap creak crescendo hoarse hushed shrill incessant resounding deafening lapping unison discordant crowing thunderous footstep grumbling gurgle muffle gulping resound singsong throaty bloodcurdling guttural noisily raspy exclaiming reverberating vocalize tuneless whir vocalization audibly voiceless reverberate chattering doleful earsplitting hushing rasping screech screechy soundbite soundless spattering thunk,130
200,1,lady,darling queen sweetie madam princess bride maid fairy actress gal waitress goddess prostitute maiden pageant pussycat runaway mermaid glamour glamorous ,geisha ballerina landlady blushing sorority wench makeover whorehouse heroine suitor debutante concubine heiress governess hunchback spinster supermodel prissy showgirl damsel mousy pixie matron sonnet burlesque catwalk senorita wooing barmaid scorned chaperon consort chambermaid fab allure starlet curtsy nursemaid pinup pauper sourpuss killjoy policewoman musketeer socialite wallflower madwoman milkmaid prim crumpet derriere headmistress captor manservant tomboy sugarplum fortuneteller housemaid streetwalker majorette handmaiden poetess sleuth hysteric gentlewoman queenly supermom primp countrywoman folktale daydreamer footman swashbuckler carpetbag courtier girlhood proprietress schoolmistress sojourner archduchess bakeshop noblewoman waxwork baroness belle blandish bluebeard congeniality consumptive countess cupid diva duchess fairytale felicity gypsy jezebel madame mademoiselle mamma miss monsieur mystique nagger rouge serendipity shopaholic tomboyish uncollectible vogue ,130
86,1,ability,strength genius talent knowledge guts passion confidence intelligence lack imagination temper curiosity capacity skill instinct wit possess ambition enthusiasm keen,expertise intuition wits insight determination knack intellect haste maturity creativity stamina muster uncanny brilliance finesse endurance willingness newfound poise aptitude willpower guile charisma flexibility audacity ingenuity sass gusto competence persistence spontaneity superhuman prowess innate foresight vitality fortitude nimble originality mastery eloquence cleverness bravado gumption agility breadth dexterity instinctive vigor aggressiveness composure lucidity steely tenacity toughness eagerness physicality resourcefulness athleticism boldness ferocity panache assertiveness forethought virtuosity brainpower versatility adaptability quickness resilience inventiveness dexterous rapidity ruthlessness smartness alertness keenness swiftness braveness inquisitiveness resiliency fearlessness fierceness perceptiveness persuasiveness shrewdness activeness acuteness adventurousness ambidexterity brashness carefulness cautiousness creativeness decisiveness doggedness elusiveness flamboyance forcefulness incisiveness musicality nimbleness receptiveness receptivity resoluteness shiftiness skillfulness tenaciousness thriftiness undeterminable wittiness ,131
187,1,sell,buy store shop sold selling cheap market trade shoe shopping equipment sale chain supply factory dealer commercial offering product brand ,sales production bargain industry produce salesman warehouse advertising aisle hobby online purchase grocery specialty buyer supermarket maker merchandise discount industrial drugstore category bookstore machinery bakery counterfeit distribution depot catalog merchant electronics manufacture retail seller vending consumer pharmaceutical supplier bulk manufacturer manufacturing wholesale advertise marketplace branded distributor nationwide specialize dealership vendor bazaar secondhand newsstand locator speciality packaging reputable appliance bookshop delicatessen middleman pawnshop grocer automotive showroom consignment sweatshop kiosk knockoff salesgirl salesperson shoplift biotech confectionary enquire saleswoman advert butchery importer furnishing resale purveyor pawnbroker wholesaler saleslady bookseller exporter merchandiser retailing sundries chinaware confectionery kitchenware locater oversea overstock refiner retailer automaker bookstall carmaker consumable discounter distributer emporium newsagent pricelist salesroom shanghai unbranded vend ,131
111,1,attitude,rude selfish stubborn hostile aggressive bully resent insulting arrogant childish ungrateful remark cocky insensitive cynical heartless obnoxious sarcastic pushy disrespectful,hateful prejudiced conceited bossy sexist judgmental inconsiderate thoughtless unkind presumptuous condescending impolite snotty bitchy insolent ornery hurtful patronizing impertinent vindictive unfriendly taunting callous disloyal overbearing demeaning intolerant uppity spiteful homophobic surly egotistical aloof belligerent unfeeling snooty uncooperative derogatory sullen snide combative scolding dismissive apologetic unsympathetic brutish haughty catty insubordinate nonchalant shortsighted domineering disparaging insincere snobbish chauvinistic confrontational tactless uncaring warlike crotchety retort contemptuous discourteous egocentric snobby boastful standoffish unintelligent bigoted humorless stereotypical preachy unhelpful misogynist peevish quarrelsome ungenerous sneering unappreciative bratty facetious graceless scoffing coldhearted deferential prideful ungracious fatalistic gossipy scornful truculent accusatory conciliatory disdainful hypercritical reproachful revengeful uncharitable uncivil derisive egotistic unloving argumentative chiding defiant gruff offhanded paternalistic shrewish uncompassionate unsubtle ,132
